AfterHoursChangeRealtime	AnnualizedGain	Ask	AskRealtime	AverageDailyVolume	Bid	BidRealtime	BookValue	Change	ChangeFromFiftydayMovingAverage	ChangeFromTwoHundreddayMovingAverage	ChangeFromYearHigh	ChangeFromYearLow	ChangePercentRealtime	ChangeRealtime	Change_PercentChange	ChangeinPercent	Commission	Currency	DaysHigh	DaysLow	DaysRange	DaysRangeRealtime	DaysValueChange	DaysValueChangeRealtime	DividendPayDate	DividendShare	DividendYield	EBITDA	EPSEstimateCurrentYear	EPSEstimateNextQuarter	EPSEstimateNextYear	EarningsShare	ErrorIndicationreturnedforsymbolchangedinvalid	ExDividendDate	FiftydayMovingAverage	HighLimit	HoldingsGain	HoldingsGainPercent	HoldingsGainPercentRealtime	HoldingsGainRealtime	HoldingsValue	HoldingsValueRealtime	LastTradeDate	LastTradePriceOnly	LastTradeRealtimeWithTime	LastTradeTime	LastTradeWithTime	LowLimit	MarketCapRealtime	MarketCapitalization	MoreInfo	Name	Notes	OneyrTargetPrice	Open	OrderBookRealtime	PEGRatio	PERatio	PERatioRealtime	PercebtChangeFromYearHigh	PercentChange	PercentChangeFromFiftydayMovingAverage	PercentChangeFromTwoHundreddayMovingAverage	PercentChangeFromYearLow	PreviousClose	PriceBook	PriceEPSEstimateCurrentYear	PriceEPSEstimateNextYear	PricePaid	PriceSales	SharesOwned	ShortRatio	StockExchange	Symbol	TickerTrend	TradeDate	TwoHundreddayMovingAverage	Volume	YearHigh	YearLow	YearRange	symbol
null	null	9.25	null	25781	9.15	null	0.00	0.06	0.17	0.37	-0.25	1.11	null	null	0.06 - 0.66%	0.66%	null	CAD	9.28	9.17	9.17 - 9.28	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	null	null	2/25/2016	9.03	null	null	null	null	null	null	null	4/8/2016	9.20	null	3:59pm	3:59pm - <b>9.20</b>	null	null	215.24B	null	AGELLAN COMMERCIAL REIT	null	null	9.17	null	0.00	16.73	null	-2.65%	0.66%	1.92%	4.24%	13.72%	9.14	null	null	null	null	null	null	0.00	TOR	ACR-UN.to	null	null	8.83	38258	9.45	8.09	8.09 - 9.45	ACR.UN
null	null	94.00	null	null	93.50	null	0.00	-0.49	null	null	0.00	0.01	null	null	-0.49 - -0.52%	-0.52%	null	CAD	93.51	93.50	93.50 - 93.51	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	93.51	null	12:54pm	12:54pm - <b>93.51</b>	null	null	null	null	AG GROWTH INTL INC 5.00 PCT DEB	null	null	null	null	0.00	null	null	0.00%	-0.52%	null	null	0.01%	94.00	null	null	null	null	null	null	null	TOR	AFN-DBC.to	null	null	null	55000	93.51	93.50	93.50 - 93.51	AFN.DB.C
null	null	38.23	null	87421	37.97	null	12.65	-0.10	0.63	4.87	-2.33	13.02	null	null	-0.10 - -0.26%	-0.26%	null	CAD	38.34	37.80	37.80 - 38.34	null	null	null	4/12/2016	0.60	1.62	93.03M	2.39	0.54	null	-0.43	null	3/29/2016	37.49	null	null	null	null	null	null	null	4/8/2016	38.12	null	4:00pm	4:00pm - <b>38.12</b>	null	null	906.99M	null	AGT FOOD AND INGREDIENTS INC	null	null	38.22	null	0.34	null	null	-5.76%	-0.26%	1.68%	14.65%	51.87%	38.22	3.02	15.95	13.33	null	0.60	null	1.18	TOR	AGT.to	null	null	33.25	37932	40.45	25.10	25.10 - 40.45	AGT
null	null	0.480	null	19125	0.475	null	0.536	-0.010	-0.035	-0.116	-0.285	0.075	null	null	-0.010 - -2.062%	-2.062%	null	CAD	0.480	0.475	0.475 - 0.480	null	null	null	null	null	null	-1.15M	null	0.000	null	-0.215	null	null	0.510	null	null	null	null	null	null	null	4/8/2016	0.475	null	3:52pm	3:52pm - <b>0.475</b>	null	null	34.35M	null	AGJUNCTION INC	null	null	0.480	null	0.000	null	null	-37.500%	-2.062%	-6.810%	-19.649%	18.750%	0.485	0.905	null	null	null	0.939	null	0.030	TOR	AJX.to	null	null	0.591	16800	0.760	0.400	0.400 - 0.760	AJX
null	null	7.98	null	446362	7.93	null	3.62	0.03	-0.55	-1.77	-7.00	0.56	null	null	0.03 - 0.38%	0.38%	null	CAD	8.02	7.90	7.90 - 8.02	null	null	null	3/31/2016	0.76	9.71	188.30M	0.81	0.23	null	0.17	null	3/15/2016	8.50	null	null	null	null	null	null	null	4/8/2016	7.95	null	4:00pm	4:00pm - <b>7.95</b>	null	null	1.26B	null	AIMIA INC	null	null	8.00	null	-4.86	47.60	null	-46.82%	0.38%	-6.44%	-18.19%	7.58%	7.92	2.19	9.81	8.93	null	0.50	null	18.94	TOR	AIM.to	null	null	9.72	201848	14.95	7.39	7.39 - 14.95	AIM
null	null	114.02	null	387490	113.85	null	43.50	0.63	-2.52	-8.08	-26.02	3.08	null	null	0.63 - 0.56%	0.56%	null	CAD	114.73	113.59	113.59 - 114.73	null	null	null	4/21/2016	4.55	4.01	2.10B	6.17	4.39	null	6.96	null	3/29/2016	116.49	null	null	null	null	null	null	null	4/8/2016	113.97	null	4:15pm	4:15pm - <b>113.97</b>	null	null	15.75B	null	AGRIUM INC	null	null	113.96	null	1.62	16.38	null	-18.59%	0.56%	-2.17%	-6.62%	2.78%	113.34	2.61	18.47	16.21	null	1.06	null	2.89	TOR	AGU.to	null	null	122.05	353075	139.99	110.89	110.89 - 139.99	AGU
null	null	50.07	null	1093890	50.00	null	19.03	0.31	2.44	9.55	-1.42	22.44	null	null	0.31 - 0.62%	0.62%	null	CAD	50.58	49.10	49.10 - 50.58	null	null	null	3/15/2016	0.42	0.85	761.20M	0.07	0.00	null	0.11	null	2/26/2016	47.63	null	null	null	null	null	null	null	4/8/2016	50.07	null	4:15pm	4:15pm - <b>50.07</b>	null	null	10.90B	null	AGNICO EAGLE MINES LIMITED	null	null	49.10	null	8.11	455.18	null	-2.76%	0.62%	5.11%	23.56%	81.22%	49.76	2.62	715.29	91.04	null	5.45	null	2.15	TOR	AEM.to	null	null	40.52	519396	51.49	27.63	27.63 - 51.49	AEM
null	null	8.34	null	2377010	8.30	null	0.00	0.20	0.11	-1.19	-6.76	1.52	null	null	0.20 - 2.46%	2.46%	null	CAD	8.35	8.15	8.15 - 8.35	null	null	null	null	null	null	0.00	null	0.00	null	null	null	null	8.22	null	null	null	null	null	null	null	4/8/2016	8.33	null	4:00pm	4:00pm - <b>8.33</b>	null	null	2346.06B	null	AIR CANADA	null	null	8.31	null	0.00	null	null	-44.80%	2.46%	1.29%	-12.50%	22.32%	8.13	null	null	null	null	null	null	0.00	TOR	AC.to	null	null	9.52	1168227	15.09	6.81	6.81 - 15.09	AC
null	null	14.86	null	80925	14.61	null	4.20	-0.33	-2.07	-3.27	-10.24	0.19	null	null	-0.33 - -2.20%	-2.20%	null	CAD	15.27	14.53	14.53 - 15.27	null	null	null	4/14/2016	0.24	1.60	29.75M	0.97	0.28	null	0.57	null	3/29/2016	16.77	null	null	null	null	null	null	null	4/8/2016	14.70	null	4:00pm	4:00pm - <b>14.70</b>	null	null	338.41M	null	AIRBOSS AMERICA J	null	null	15.14	null	0.00	25.83	null	-41.06%	-2.20%	-12.36%	-18.18%	1.31%	15.03	3.58	15.15	12.46	null	1.12	null	2.05	TOR	BOS.to	null	null	17.97	83140	24.94	14.51	14.51 - 24.94	BOS
null	null	7.20	null	3135	7.01	null	13.97	0.00	-0.09	-0.38	-4.05	1.07	null	null	0.00 - 0.00%	0.00%	null	CAD	7.01	6.95	6.95 - 7.01	null	null	null	4/1/2016	0.34	4.72	28.03M	-0.70	0.00	null	0.00	null	3/15/2016	7.04	null	null	null	null	null	null	null	4/7/2016	6.95	null	3:38pm	3:38pm - <b>6.95</b>	null	null	124.72M	null	AKITA DRILLING LTD	null	null	7.01	null	0.00	null	null	-36.82%	0.00%	-1.31%	-5.15%	18.20%	6.95	0.50	null	null	null	0.91	null	3.76	TOR	AKT-A.to	null	null	7.33	1680	11.00	5.88	5.88 - 11.00	AKT.A
