AfterHoursChangeRealtime	AnnualizedGain	Ask	AskRealtime	AverageDailyVolume	Bid	BidRealtime	BookValue	Change	ChangeFromFiftydayMovingAverage	ChangeFromTwoHundreddayMovingAverage	ChangeFromYearHigh	ChangeFromYearLow	ChangePercentRealtime	ChangeRealtime	Change_PercentChange	ChangeinPercent	Commission	Currency	DaysHigh	DaysLow	DaysRange	DaysRangeRealtime	DaysValueChange	DaysValueChangeRealtime	DividendPayDate	DividendShare	DividendYield	EBITDA	EPSEstimateCurrentYear	EPSEstimateNextQuarter	EPSEstimateNextYear	EarningsShare	ErrorIndicationreturnedforsymbolchangedinvalid	ExDividendDate	FiftydayMovingAverage	HighLimit	HoldingsGain	HoldingsGainPercent	HoldingsGainPercentRealtime	HoldingsGainRealtime	HoldingsValue	HoldingsValueRealtime	LastTradeDate	LastTradePriceOnly	LastTradeRealtimeWithTime	LastTradeTime	LastTradeWithTime	LowLimit	MarketCapRealtime	MarketCapitalization	MoreInfo	Name	Notes	OneyrTargetPrice	Open	OrderBookRealtime	PEGRatio	PERatio	PERatioRealtime	PercebtChangeFromYearHigh	PercentChange	PercentChangeFromFiftydayMovingAverage	PercentChangeFromTwoHundreddayMovingAverage	PercentChangeFromYearLow	PreviousClose	PriceBook	PriceEPSEstimateCurrentYear	PriceEPSEstimateNextYear	PricePaid	PriceSales	SharesOwned	ShortRatio	StockExchange	Symbol	TickerTrend	TradeDate	TwoHundreddayMovingAverage	Volume	YearHigh	YearLow	YearRange	symbol
null	null	1.33	null	213546	1.30	null	0.40	0.06	0.17	0.52	-0.09	0.91	null	null	0.06 - 4.80%	4.80%	null	CAD	1.33	1.25	1.25 - 1.33	null	null	null	null	null	null	5.78M	0.00	0.00	null	-0.23	null	null	1.14	null	null	null	null	null	null	null	4/8/2016	1.31	null	3:59pm	3:59pm - <b>1.31</b>	null	null	185.64M	null	GREAT PANTHER SILVER LIMITED	null	null	1.27	null	0.00	null	null	-6.43%	4.80%	14.42%	65.37%	227.50%	1.25	3.11	null	26.20	null	2.51	null	0.15	TOR	GPR.to	null	null	0.79	544330	1.40	0.40	0.40 - 1.40	GPR
null	null	19.99	null	192	19.45	null	15.96	0.40	0.58	1.00	-4.45	2.84	null	null	0.40 - 2.15%	2.15%	null	CAD	19.00	18.80	18.80 - 19.00	null	null	null	4/18/2016	0.30	1.60	46.52M	0.80	0.00	null	1.15	null	4/7/2016	18.42	null	null	null	null	null	null	null	4/8/2016	19.00	null	2:54pm	2:54pm - <b>19.00</b>	null	null	560.10M	null	GUARDIAN CAPITAL	null	null	18.81	null	0.00	16.56	null	-18.98%	2.15%	3.13%	5.53%	17.57%	18.60	1.17	null	null	null	4.22	null	1.80	TOR	GCG.to	null	null	18.00	325	23.45	16.16	16.16 - 23.45	GCG
null	null	18.75	null	5180	18.25	null	15.96	0.50	-0.13	0.57	-0.79	3.05	null	null	0.50 - 2.75%	2.75%	null	CAD	18.70	18.40	18.40 - 18.70	null	null	null	4/18/2016	0.34	1.88	46.52M	1.11	0.00	null	1.15	null	7/8/2015	18.83	null	null	null	null	null	null	null	4/8/2016	18.70	null	3:07pm	3:07pm - <b>18.70</b>	null	null	551.26M	null	GUARDIAN CAPITAL GROUP LTD	null	null	18.40	null	0.00	16.30	null	-4.05%	2.75%	-0.70%	3.13%	19.49%	18.20	1.14	null	null	null	4.13	null	1.49	TOR	GCG-A.to	null	null	18.13	3500	19.49	15.65	15.65 - 19.49	GCG.A
null	null	5.44	null	435324	5.37	null	1.04	0.15	0.77	1.69	-0.09	2.93	null	null	0.15 - 2.85%	2.85%	null	CAD	5.50	5.25	5.25 - 5.50	null	null	null	null	null	null	-8.91M	0.36	0.11	null	-0.08	null	null	4.64	null	null	null	null	null	null	null	4/8/2016	5.41	null	4:00pm	4:00pm - <b>5.41</b>	null	null	824.57M	null	GUYANA GOLDFIELDS INC	null	null	5.27	null	2.44	null	null	-1.64%	2.85%	16.53%	45.44%	118.15%	5.26	5.07	15.03	11.76	null	null	null	2.30	TOR	GUY.to	null	null	3.72	604060	5.50	2.48	2.48 - 5.50	GUY
null	null	106.00	null	null	103.10	null	0.00	0.00	null	null	-12.50	0.99	null	null	0.00 - 0.00%	0.00%	null	CAD	103.50	103.50	103.50 - 103.50	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/7/2016	103.50	null	2:41pm	2:41pm - <b>103.50</b>	null	null	null	null	HR REIT 5.90 PCT CONV DEBS	null	null	null	null	0.00	null	null	-10.78%	0.00%	null	null	0.97%	103.50	null	null	null	null	null	null	null	TOR	HR-DBD.to	null	null	null	25000	116.00	102.51	102.51 - 116.00	HR.DB.D
null	null	8.90	null	32871	8.65	null	0.69	0.06	0.41	0.80	-2.50	2.13	null	null	0.06 - 0.70%	0.70%	null	CAD	8.65	8.65	8.65 - 8.65	null	null	null	null	null	null	-6.18M	-0.25	-0.07	null	-0.72	null	null	8.24	null	null	null	null	null	null	null	4/8/2016	8.65	null	1:38pm	1:38pm - <b>8.65</b>	null	null	190.50M	null	HALOGEN SOFTWARE INC	null	null	8.65	null	0.00	null	null	-22.42%	0.70%	5.02%	10.14%	32.67%	8.59	12.36	null	null	null	2.97	null	4.38	TOR	HGN.to	null	null	7.85	500	11.15	6.52	6.52 - 11.15	HGN
null	null	21.44	null	421341	21.35	null	23.04	0.29	-1.13	-1.72	-3.87	0.67	null	null	0.29 - 1.37%	1.37%	null	CAD	21.49	21.08	21.08 - 21.49	null	null	null	3/31/2016	1.35	6.33	0.00	1.88	0.00	null	1.23	null	7/15/2015	22.53	null	null	null	null	null	null	null	4/8/2016	21.40	null	4:15pm	4:15pm - <b>21.40</b>	null	null	6.35B	null	H&R REAL ESTATE INV TRUST	null	null	21.16	null	0.00	17.41	null	-15.31%	1.37%	-5.00%	-7.43%	3.23%	21.11	0.92	null	null	null	5.27	null	2.17	TOR	HR-UN.to	null	null	23.12	825706	25.27	20.73	20.73 - 25.27	HR.UN
null	null	102.50	null	null	101.80	null	0.00	0.00	null	null	-6.49	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	102.00	102.00	102.00 - 102.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	102.00	null	3:44pm	3:44pm - <b>102.00</b>	null	null	null	null	HR REIT 5.40 PCT DEBS	null	null	null	null	0.00	null	null	-5.98%	0.00%	null	null	0.00%	102.00	null	null	null	null	null	null	null	TOR	HR-DBH.to	null	null	null	20000	108.49	102.00	102.00 - 108.49	HR.DB.H
null	null	101.00	null	null	100.45	null	0.00	0.35	null	null	-11.19	1.86	null	null	0.35 - 0.35%	0.35%	null	CAD	100.80	100.45	100.45 - 100.80	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	100.80	null	3:59pm	3:59pm - <b>100.80</b>	null	null	null	null	HR REIT 4.50 PCT SER E DEBS	null	null	null	null	0.00	null	null	-9.99%	0.35%	null	null	1.88%	100.45	null	null	null	null	null	null	null	TOR	HR-DBE.to	null	null	null	35000	111.99	98.94	98.94 - 111.99	HR.DB.E
null	null	6.48	null	1594	6.39	null	10.55	0.04	0.07	0.31	-1.11	1.32	null	null	0.04 - 0.62%	0.62%	null	CAD	6.44	6.44	6.44 - 6.44	null	null	null	3/25/2016	0.24	3.75	15.09M	0.65	0.00	null	0.33	null	3/16/2016	6.37	null	null	null	null	null	null	null	4/8/2016	6.44	null	10:12am	10:12am - <b>6.44</b>	null	null	75.34M	null	HAMMOND POWER SOLUTIONS INC	null	null	6.44	null	0.00	19.63	null	-14.70%	0.62%	1.13%	5.04%	25.78%	6.40	0.61	null	null	null	0.29	null	1.66	TOR	HPS-A.to	null	null	6.13	100	7.55	5.12	5.12 - 7.55	HPS.A
null	null	17.57	null	18790	17.40	null	8.10	-0.11	0.30	0.43	-1.21	5.24	null	null	-0.11 - -0.63%	-0.63%	null	CAD	17.97	17.41	17.41 - 17.97	null	null	null	4/29/2016	0.22	1.23	32.39M	1.14	0.32	null	1.10	null	1/15/2016	17.15	null	null	null	null	null	null	null	4/8/2016	17.45	null	4:00pm	4:00pm - <b>17.45</b>	null	null	290.58M	null	HARDWOODS DISTRIBUTION INC	null	null	17.71	null	0.00	15.83	null	-6.48%	-0.63%	1.76%	2.53%	42.92%	17.56	2.17	null	13.22	null	0.54	null	0.58	TOR	HWD.to	null	null	17.02	12010	18.66	12.21	12.21 - 18.66	HWD
null	null	2.20	null	2516	2.16	null	3.68	0.00	0.02	0.09	-0.38	0.55	null	null	0.00 - 0.00%	0.00%	null	CAD	2.20	2.20	2.20 - 2.20	null	null	null	1/29/2015	0.00	0.00	8.41M	null	0.00	null	0.31	null	3/13/2003	2.18	null	null	null	null	null	null	null	4/5/2016	2.20	null	11:39am	11:39am - <b>2.20</b>	null	null	24.93M	null	HAMMOND MANUFACTURING CO. LT	null	null	2.20	null	0.00	7.21	null	-14.73%	0.00%	1.13%	4.18%	33.33%	2.20	0.60	null	null	null	0.21	null	0.69	TOR	HMM-A.to	null	null	2.11	3000	2.58	1.65	1.65 - 2.58	HMM.A
null	null	0.045	null	14687	0.040	null	0.149	-0.010	-0.015	-0.023	-0.075	0.035	null	null	-0.010 - -18.182%	-18.182%	null	CAD	0.050	0.040	0.040 - 0.050	null	null	null	null	null	null	-5.84M	-0.180	0.000	null	-0.041	null	null	0.060	null	null	null	null	null	null	null	4/8/2016	0.045	null	3:54pm	3:54pm - <b>0.045</b>	null	null	8.74M	null	HANWEI ENERGY SERVICES CORP.	null	null	0.045	null	0.000	null	null	-62.500%	-18.182%	-24.641%	-33.795%	350.000%	0.055	0.369	null	null	null	0.843	null	0.000	TOR	HE.to	null	null	0.068	318379	0.120	0.010	0.010 - 0.120	HE
null	null	8.34	null	22628	8.30	null	0.00	0.01	0.28	0.11	-2.23	0.92	null	null	0.01 - 0.12%	0.12%	null	CAD	8.38	8.31	8.31 - 8.38	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	null	null	8/27/2015	8.09	null	null	null	null	null	null	null	4/8/2016	8.37	null	3:44pm	3:44pm - <b>8.37</b>	null	null	127.09B	null	HEALTHCARE LEADERS INCOME FUND	null	null	8.36	null	0.00	null	null	-21.04%	0.12%	3.50%	1.27%	12.35%	8.36	null	null	null	null	null	null	0.00	TOR	HHL-UN.to	null	null	8.26	23557	10.60	7.45	7.45 - 10.60	HHL.UN
null	null	7.54	null	6404	7.25	null	0.00	-0.13	0.07	-0.03	-2.51	0.64	null	null	-0.13 - -1.75%	-1.75%	null	CAD	7.44	7.30	7.30 - 7.44	null	null	null	null	null	null	0.00	null	0.00	null	null	null	null	7.23	null	null	null	null	null	null	null	4/8/2016	7.30	null	11:43am	11:43am - <b>7.30</b>	null	null	44.39B	null	HEALTHCARE SPECIAL OPP FUND	null	null	7.44	null	0.00	null	null	-25.59%	-1.75%	0.96%	-0.36%	9.61%	7.43	null	null	null	null	null	null	0.00	TOR	MDS-UN.to	null	null	7.33	4206	9.81	6.66	6.66 - 9.81	MDS.UN
null	null	0.19	null	1156970	0.19	null	0.09	0.00	0.05	0.09	-0.16	0.14	null	null	0.00 - 0.00%	0.00%	null	CAD	0.19	0.19	0.19 - 0.19	null	null	null	null	null	null	-571587.00	null	0.00	null	-0.00	null	null	0.14	null	null	null	null	null	null	null	4/8/2016	0.19	null	3:57pm	3:57pm - <b>0.19</b>	null	null	57.05M	null	HARTE GOLD CORP	null	null	0.19	null	0.00	null	null	-45.71%	0.00%	32.21%	98.64%	280.00%	0.19	2.04	null	null	null	null	null	0.39	TOR	HRT.to	null	null	0.10	412440	0.35	0.05	0.05 - 0.35	HRT
null	null	10.83	null	5538	10.59	null	0.00	0.13	0.39	-1.37	-10.01	1.03	null	null	0.13 - 1.22%	1.22%	null	CAD	10.80	10.57	10.57 - 10.80	null	null	null	1/15/2016	null	null	0.00	null	0.00	null	null	null	12/29/2015	10.41	null	null	null	null	null	null	null	4/8/2016	10.80	null	3:42pm	3:42pm - <b>10.80</b>	null	null	139.40B	null	HNZ GROUP INC CL A	null	null	10.66	null	0.00	null	null	-48.10%	1.22%	3.79%	-11.24%	10.54%	10.67	null	null	null	null	null	null	0.00	TOR	HNZ-A.to	null	null	12.17	8174	20.81	9.77	9.77 - 20.81	HNZ.A
null	null	3.77	null	117654	3.73	null	3.50	-0.05	0.48	0.36	-0.73	1.04	null	null	-0.05 - -1.31%	-1.31%	null	CAD	3.84	3.70	3.70 - 3.84	null	null	null	4/14/2016	0.20	5.71	54.70M	0.58	0.14	null	0.46	null	3/29/2016	3.29	null	null	null	null	null	null	null	4/8/2016	3.77	null	4:00pm	4:00pm - <b>3.77</b>	null	null	205.59M	null	HIGH ARCTIC ENERGY SERVICES INC	null	null	3.83	null	0.00	8.18	null	-16.22%	-1.31%	14.58%	10.43%	38.10%	3.82	1.09	6.50	6.18	null	1.05	null	1.74	TOR	HWO.to	null	null	3.41	117534	4.50	2.73	2.73 - 4.50	HWO
null	null	10.95	null	null	9.56	null	0.00	0.00	10.00	10.00	-11.63	4.55	null	null	0.00 - 0.00%	0.00%	null	CAD	10.00	10.00	10.00 - 10.00	null	null	null	1/15/2016	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/30/2016	10.00	null	2:36pm	2:36pm - <b>10.00</b>	null	null	1.20B	null	HNZ GROUP INC CL B	null	null	10.00	null	0.00	null	null	-53.77%	0.00%	inf%	inf%	83.49%	10.00	null	null	null	null	null	null	0.00	TOR	HNZ-B.to	null	null	0.00	300	21.63	5.45	5.45 - 21.63	HNZ.B
null	null	1.98	null	14611	1.90	null	0.05	0.01	0.08	-0.01	-0.37	0.28	null	null	0.01 - 0.51%	0.51%	null	CAD	1.98	1.95	1.95 - 1.98	null	null	null	null	null	null	-9.11M	null	0.00	null	-0.11	null	null	1.90	null	null	null	null	null	null	null	4/8/2016	1.98	null	3:46pm	3:46pm - <b>1.98</b>	null	null	167.63M	null	HELIX BIOPHARM	null	null	1.97	null	0.00	null	null	-15.74%	0.51%	4.35%	-0.35%	16.47%	1.97	38.63	null	null	null	null	null	3.67	TOR	HBP.to	null	null	1.99	28000	2.35	1.70	1.70 - 2.35	HBP
null	null	13.50	null	20811	13.31	null	9.17	-0.02	0.37	0.74	-0.62	3.97	null	null	-0.02 - -0.15%	-0.15%	null	CAD	13.50	13.35	13.35 - 13.50	null	null	null	12/19/2012	0.00	0.00	56.68M	0.74	0.15	null	0.44	null	12/20/2012	13.10	null	null	null	null	null	null	null	4/8/2016	13.47	null	4:00pm	4:00pm - <b>13.47</b>	null	null	484.91M	null	HEROUX-DEVTEK	null	null	13.50	null	0.81	30.48	null	-4.40%	-0.15%	2.83%	5.82%	41.79%	13.49	1.47	18.20	16.84	null	1.23	null	15.81	TOR	HRX.to	null	null	12.73	8105	14.09	9.50	9.50 - 14.09	HRX
null	null	15.00	null	67513	14.91	null	6.49	-0.15	0.59	0.50	-9.99	4.90	null	null	-0.15 - -0.99%	-0.99%	null	CAD	15.17	14.94	14.94 - 15.17	null	null	null	3/15/2016	0.48	3.17	78.64M	1.38	0.19	null	0.95	null	2/26/2016	14.41	null	null	null	null	null	null	null	4/8/2016	15.00	null	4:00pm	4:00pm - <b>15.00</b>	null	null	463.11M	null	HIGH LINER	null	null	15.15	null	0.00	15.79	null	-39.98%	-0.99%	4.06%	3.44%	48.51%	15.15	2.33	10.87	9.49	null	0.47	null	8.66	TOR	HLF.to	null	null	14.50	35698	24.99	10.10	10.10 - 24.99	HLF
null	null	0.09	null	209598	0.09	null	0.11	0.01	0.00	0.01	-0.05	0.03	null	null	0.01 - 5.88%	5.88%	null	CAD	0.09	0.09	0.09 - 0.09	null	null	null	null	null	null	-658589.00	null	0.00	null	-0.01	null	null	0.09	null	null	null	null	null	null	null	4/8/2016	0.09	null	11:37am	11:37am - <b>0.09</b>	null	null	37.35M	null	HERON RESOURCES LIMITED	null	null	0.09	null	0.00	null	null	-33.33%	5.88%	2.11%	7.95%	38.46%	0.09	0.79	null	null	null	42.73	null	0.13	TOR	HER.to	null	null	0.08	10000	0.14	0.06	0.06 - 0.14	HER
null	null	89.50	null	null	87.10	null	0.00	-1.00	null	null	0.00	0.00	null	null	-1.00 - -1.12%	-1.12%	null	CAD	88.00	88.00	88.00 - 88.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	88.00	null	3:59pm	3:59pm - <b>88.00</b>	null	null	null	null	HOLLOWAY LODGING CORP 6.25 PCT	null	null	null	null	0.00	null	null	0.00%	-1.12%	null	null	0.00%	89.00	null	null	null	null	null	null	null	TOR	HLC-DB.to	null	null	null	10000	88.00	88.00	88.00 - 88.00	HLC.DB
null	null	4.78	null	7083	4.66	null	6.30	-0.05	-0.04	-0.14	-1.89	0.40	null	null	-0.05 - -1.05%	-1.05%	null	CAD	4.70	4.70	4.70 - 4.70	null	null	null	4/15/2016	0.14	2.94	33.03M	0.78	0.00	null	1.02	null	3/29/2016	4.74	null	null	null	null	null	null	null	4/8/2016	4.70	null	12:51pm	12:51pm - <b>4.70</b>	null	null	90.07M	null	HOLLOWAY LODGING CORPORATION	null	null	4.70	null	0.00	4.59	null	-28.68%	-1.05%	-0.83%	-2.92%	9.30%	4.75	0.75	null	null	null	0.76	null	8.88	TOR	HLC.to	null	null	4.84	600	6.59	4.30	4.30 - 6.59	HLC
null	null	97.75	null	null	95.00	null	0.00	0.00	null	null	0.00	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	96.00	96.00	96.00 - 96.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/4/2016	96.00	null	9:29am	9:29am - <b>96.00</b>	null	null	null	null	HOLLOWAY LODGING CORP 7.50 PCT	null	null	null	null	0.00	null	null	0.00%	0.00%	null	null	0.00%	96.00	null	null	null	null	null	null	null	TOR	HLC-DBA.to	null	null	null	6000	96.00	96.00	96.00 - 96.00	HLC.DB.A
null	null	1.14	null	408262	1.11	null	2.51	-0.01	-0.07	-0.82	-3.18	0.05	null	null	-0.01 - -0.89%	-0.89%	null	CAD	1.15	1.10	1.10 - 1.15	null	null	null	4/15/2016	0.08	7.21	60.74M	-0.10	-0.03	null	-0.01	null	3/29/2016	1.18	null	null	null	null	null	null	null	4/8/2016	1.11	null	4:00pm	4:00pm - <b>1.11</b>	null	null	150.20M	null	HORIZON NORTH LOGISTICS INC.	null	null	1.12	null	-0.34	null	null	-74.13%	-0.89%	-6.09%	-42.38%	4.72%	1.12	0.45	null	null	null	0.41	null	1.60	TOR	HNL.to	null	null	1.93	127479	4.29	1.06	1.06 - 4.29	HNL
null	null	10.03	null	null	9.94	null	0.00	-0.03	9.97	9.97	-0.53	0.47	null	null	-0.03 - -0.30%	-0.30%	null	CAD	9.97	9.97	9.97 - 9.97	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	9.97	null	10:01am	10:01am - <b>9.97</b>	null	null	null	null	HORIZONS ACTIVE CDN MUNICIPAL B	null	null	9.97	null	0.00	null	null	-5.05%	-0.30%	inf%	inf%	4.95%	10.00	null	null	null	null	null	null	null	TOR	HMP-A.to	null	null	0.00	300	10.50	9.50	9.50 - 10.50	HMP.A
null	null	8.09	null	null	7.98	null	0.00	0.00	7.49	7.49	-2.31	0.48	null	null	0.00 - 0.00%	0.00%	null	CAD	7.49	7.49	7.49 - 7.49	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	7.49	null	10:46am	10:46am - <b>7.49</b>	null	null	null	null	HORIZONS ACTIVE FLT RATE PREF A	null	null	7.49	null	0.00	null	null	-23.57%	0.00%	inf%	inf%	6.85%	7.49	null	null	null	null	null	null	null	TOR	HFP-A.to	null	null	0.00	400	9.80	7.01	7.01 - 9.80	HFP.A
null	null	9.89	null	null	9.84	null	0.00	0.00	9.75	9.75	-0.47	0.08	null	null	0.00 - 0.00%	0.00%	null	CAD	9.75	9.75	9.75 - 9.75	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	9.75	null	10:46am	10:46am - <b>9.75</b>	null	null	null	null	HORIZONS ACTIVE FLOAT RATE SEN	null	null	9.75	null	0.00	null	null	-4.60%	0.00%	inf%	inf%	0.83%	9.75	null	null	null	null	null	null	null	TOR	HSL-A.to	null	null	0.00	1025	10.22	9.67	9.67 - 10.22	HSL.A
null	null	7.66	null	2000	7.50	null	0.00	0.00	-0.48	-0.79	-1.20	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	7.40	7.40	7.40 - 7.40	null	null	null	null	null	null	null	null	0.00	null	null	null	null	7.88	null	null	null	null	null	null	null	3/28/2016	7.40	null	10:46am	10:46am - <b>7.40</b>	null	null	null	null	HORIZONS ACTIVE GLOBAL FIXED IN	null	null	null	null	0.00	null	null	-13.95%	0.00%	-6.09%	-9.59%	0.00%	7.40	null	null	null	null	null	null	null	TOR	HAF-A.to	null	null	8.19	0	8.60	7.40	7.40 - 8.60	HAF.A
null	null	10.18	null	null	10.09	null	0.00	0.00	9.92	9.92	-1.50	1.00	null	null	0.00 - 0.00%	0.00%	null	CAD	9.92	9.92	9.92 - 9.92	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	9.92	null	10:46am	10:46am - <b>9.92</b>	null	null	null	null	HORIZONS ACTIVE CDN BOND ETF AD	null	null	null	null	0.00	null	null	-13.13%	0.00%	inf%	inf%	11.21%	9.92	null	null	null	null	null	null	null	TOR	HAD-A.to	null	null	0.00	0	11.42	8.92	8.92 - 11.42	HAD.A
null	null	11.78	null	null	11.70	null	0.00	0.00	11.99	11.99	-1.14	1.01	null	null	0.00 - 0.00%	0.00%	null	CAD	11.99	11.99	11.99 - 11.99	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/29/2016	11.99	null	2:54pm	2:54pm - <b>11.99</b>	null	null	null	null	HORIZONS ACTIVE EMRG MKTS DIV A	null	null	11.99	null	0.00	null	null	-8.68%	0.00%	inf%	inf%	9.20%	11.99	null	null	null	null	null	null	null	TOR	HAJ-A.to	null	null	0.00	150	13.13	10.98	10.98 - 13.13	HAJ.A
null	null	10.77	null	null	10.68	null	0.00	0.00	10.53	10.53	-1.32	0.34	null	null	0.00 - 0.00%	0.00%	null	CAD	10.53	10.53	10.53 - 10.53	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	10.53	null	10:46am	10:46am - <b>10.53</b>	null	null	null	null	HORIZONS ACTIVE CORPORATE BOND	null	null	null	null	0.00	null	null	-11.14%	0.00%	inf%	inf%	3.34%	10.53	null	null	null	null	null	null	null	TOR	HAB-A.to	null	null	0.00	80	11.85	10.19	10.19 - 11.85	HAB.A
null	null	9.96	null	null	9.93	null	0.00	0.00	9.91	9.91	-0.28	0.09	null	null	0.00 - 0.00%	0.00%	null	CAD	9.91	9.91	9.91 - 9.91	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/29/2016	9.91	null	10:02am	10:02am - <b>9.91</b>	null	null	null	null	HORIZONS ACTIVE FLOATING RATE B	null	null	9.91	null	0.00	null	null	-2.75%	0.00%	inf%	inf%	0.92%	9.91	null	null	null	null	null	null	null	TOR	HFR-A.to	null	null	0.00	460	10.19	9.82	9.82 - 10.19	HFR.A
null	null	18.35	null	null	18.31	null	0.00	0.00	18.40	18.40	-1.10	1.12	null	null	0.00 - 0.00%	0.00%	null	CAD	18.40	18.40	18.40 - 18.40	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/7/2016	18.40	null	2:03pm	2:03pm - <b>18.40</b>	null	null	null	null	HORIZONS ACTIVE GLOBAL DIVIDEND	null	null	18.40	null	0.00	null	null	-5.64%	0.00%	inf%	inf%	6.48%	18.40	null	null	null	null	null	null	null	TOR	HAZ-A.to	null	null	0.00	3495	19.50	17.28	17.28 - 19.50	HAZ.A
null	null	13.61	null	614	13.57	null	0.00	0.00	-0.58	-0.90	-1.38	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	13.66	13.66	13.66 - 13.66	null	null	null	null	null	null	null	null	0.00	null	null	null	null	14.24	null	null	null	null	null	null	null	4/5/2016	13.66	null	2:29pm	2:29pm - <b>13.66</b>	null	null	null	null	HORIZONS ACTIVE CDN DIVIDEND ET	null	null	13.66	null	0.00	null	null	-9.18%	0.00%	-4.09%	-6.16%	0.00%	13.66	null	null	null	null	null	null	null	TOR	HAL-A.to	null	null	14.56	23	15.04	13.66	13.66 - 15.04	HAL.A
null	null	9.37	null	null	9.27	null	0.00	0.00	9.56	9.56	-1.06	1.00	null	null	0.00 - 0.00%	0.00%	null	CAD	9.56	9.56	9.56 - 9.56	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	9.56	null	10:46am	10:46am - <b>9.56</b>	null	null	null	null	HORIZONS ACTIVE HIGH YIELD BOND	null	null	null	null	0.00	null	null	-9.98%	0.00%	inf%	inf%	11.68%	9.56	null	null	null	null	null	null	null	TOR	HYI-A.to	null	null	0.00	0	10.62	8.56	8.56 - 10.62	HYI.A
null	null	8.21	null	3767	8.10	null	0.00	-0.08	-0.42	-1.04	-1.90	0.00	null	null	-0.08 - -0.98%	-0.98%	null	CAD	8.11	8.11	8.11 - 8.11	null	null	null	null	null	null	null	null	0.00	null	null	null	null	8.53	null	null	null	null	null	null	null	4/8/2016	8.11	null	3:05pm	3:05pm - <b>8.11</b>	null	null	null	null	HORIZONS ACTIVE PREFERRED SHARE	null	null	8.11	null	0.00	null	null	-18.98%	-0.98%	-4.97%	-11.34%	0.00%	8.19	null	null	null	null	null	null	null	TOR	HPR-A.to	null	null	9.15	4700	10.01	8.11	8.11 - 10.01	HPR.A
null	null	10.69	null	null	10.62	null	0.00	0.00	10.31	10.31	-1.00	1.01	null	null	0.00 - 0.00%	0.00%	null	CAD	10.31	10.31	10.31 - 10.31	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	10.31	null	10:46am	10:46am - <b>10.31</b>	null	null	null	null	HORIZONS ACTIVE US DIVIDEND ETF	null	null	null	null	0.00	null	null	-8.84%	0.00%	inf%	inf%	10.86%	10.31	null	null	null	null	null	null	null	TOR	HAU-A.to	null	null	0.00	0	11.31	9.30	9.30 - 11.31	HAU.A
null	null	8.23	null	null	8.16	null	0.00	0.00	7.52	7.52	0.00	0.00	null	null	0.00 - 0.00%	0.00%	null	USD	7.52	7.52	7.52 - 7.52	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	7.52	null	10:46am	10:46am - <b>7.52</b>	null	null	null	null	HORIZONS ACTIVE US DIVIDEND ETF	null	null	null	null	0.00	null	null	0.00%	0.00%	inf%	inf%	0.00%	7.52	null	null	null	null	null	null	null	TOR	HAU-U.to	null	null	0.00	0	7.52	7.52	7.52 - 7.52	HAU.U
